threadIdx.x blockIdx.x device_data[i+twod1-1]
3 0 23
3 1 16
1 0 2
1 1 4
1 2 19
1 3 7
1 4 23
1 5 17
1 6 23
1 7 20
1 8 14
1 9 6
1 10 21
1 11 21
1 12 21
1 13 27
1 14 25
1 15 28
0 0 15
0 1 5
0 2 11
0 3 6
0 4 13
0 5 16
0 6 9
0 7 20
0 8 25
0 9 19
0 10 22
0 11 10
0 12 11
0 13 8
0 14 19
0 15 15
2 0 15
2 1 26
2 2 11
2 3 21
2 4 25
2 5 20
2 6 13
2 7 4
2 8 16
2 9 16
2 10 11
2 11 6
2 12 19
2 13 26
2 14 12
2 15 26
1 0 41
1 1 32
1 2 45
1 3 17
1 4 32
1 5 17
1 6 45
1 7 38
1 8 39
0 0 20
0 1 17
0 2 29
0 3 29
0 4 44
0 5 32
0 6 19
0 7 34
0 8 6
0 9 26
0 10 40
0 11 43
0 12 20
0 13 42
0 14 48
0 15 53
0 0 37
0 1 58
0 2 76
0 3 53
0 4 32
0 5 83
0 6 62
0 7 101
0 8 73
0 9 62
0 10 49
0 11 83
0 0 95
0 1 129
0 2 115
0 3 163
0 4 135
0 5 132
0 0 224
0 1 278
0 2 267
0 0 502
